Sweetest Mistake,"

I woke up this morning
With my head up the clouds
I saw the rain falling
As I thought about the time
When you were mine

I thought I saw you smiling
Just a few yards away
Called out your name but
You turned away so fast I
Couldnât smile back

You are my sweetest mistake
And Iâll never regret that I
Gave you my world
You are my sweetest mistake
And Iâll never regret that I
Gave you my world
Even if Iâm not your girl
Anymore

Forgive me for not listening
To any of the words they say
For I will always think of you
For each passing day
Please donât go
I still love you so

All the words that you told me
All the promises youâve made
And all the moments that
We spent together
Thought theyâd last forever

You are my sweetest mistake
And Iâll never regret that I
Gave you my world
You are my sweetest mistake
And Iâll never forget that you
Gave up my world
âCause I was not your girl
Even before

I woke up this morning
With my head up the clouds
I might have been dreaming
âTill the day you walked out of my life
And said, âGoodbye.â
",Sarah Geronimo
Eyes On Fire,"

This ainât the first time that I close my eyes
To block the sunrise
It always looked familiar but it breaks to me
Like a new star no matter how far
I see the colors of its radiant skin so clear
Well, too bad when it was me
It was never, never real

Oooohh..ooohh

I donât know where to go from here
Itâs been a waste of time thinking of you
Darling, I miss you
Canât resist
Pinch me, Iâm dreaming again
Oh, Iâve had the best of days
But now itâs time to let them go

You walked across the sunlit sky
And left me all alone
I close my eyes to feel no pain
From the rising sun and its blinding rays
Are you out there on your own
Tell me if youâre coming home

Ooohhh..oooohh..ooohh..oooohh

You set my eyes on fire
You set my eyes on fire
You set my eyes on, set my eyes on
Set my eyes on fire
Ohhh... yeah...
This ainât the first time that I close my eyes.
",Sarah Geronimo
Mama,"

You are love
Youâre the light
You are inspiration
Youâre my life

You... beautiful wonderful
Everything, my all
You are inspiration

[Chorus]
Everywhere I go, I got a piece of you
Everything I need, I got it here with you
Anywhere Iâd be, I got you here with me
Mama, mama, mama, mama...

Everybody sees how much you mean to me
Everything I feel, I want the world to see
Knowing that I got you
Nothing I canât be
Mama, mama, mama, mama...

You, amazing
Blazing from heaven
My angel
You are inspiration
My life

[Repeat Chorus]

[Bridge]
Oohhh..oh.. yeah.. mama.. ohh mama..
Mama, I love you..

[Repeat Chorus]

Mama.
",Sarah Geronimo
You,"

When youâre down and troubled
And you need some loving care
And nothing, oh, nothing is going right
Close your eyes and think of me and soon I will be there
To brighten up even your darkest nights

[Chorus]
You just call out my name,
And you know wherever I am
Iâll come running to see you again
(Donât you know that) Winter, spring, summer or fall, all you gotta do is call
And Iâll be there, yes I will
Youâve got a friend

If the sky above you, should turn dark and full of clouds
And that old north wind should begin to blow
Keep your head together
And call my name out loud now
Soon youâll hear me knocking upon your door

[Repeat Chorus]

Hey ainât it good to know that
Youâve got a friend When people can be so cold
Theyâll hurt you and dessert you
And take your soul if you let them
Donât you let them

[Repeat Chorus]

Ainât it good to know, youâve got a friend
Ainât it good to know, youâve got a friend
Youâve got a friendâ¦

Ainât it good to know
Ainât it good to know
Ainât it good to know
Ainât it good to know
Youâve got a friend
Youâve got a friend
Youâve got a friend
",Sarah Geronimo
Make Me Yours,"

Seems that fate has gone out here to play
Holding dear today and just leaves you tomorrow
How can one avoid an impending pain
Write his own destiny and get on his way

Speak to me, though I am unworthy
It's Your voice I long to hear
Take away my doubts and fears
Stay with me though I am unworthy
'Cause it's You that I want
And it's You that I need
Make me Yours, only Yours
And never let me go

Blinded with the beauty before my eyes
Makes me one with the world
Who laughs with countless foolish hearts
They say that mercy comes with waiting
A future that's unseen
Hope, though everything keeps failing

Speak to me, though I am unworthy
It's Your voice I long to hear
Take away my doubts and fears
Stay with me though I am unworthy
'Cause it's You that I want
And it's You that I need
Make me Yours, only Yours

Darkness blinds and wake my eyes
Retrieve me with your guiding light
Save me from the fire that burns my soul
Songs of love turned into lies
Tears were cried and died overnight
Break my heart and me whole gain

Speak to me, though I am unworthy
It's Your voice I long to hear
Take away my doubts and fears
Stay with me though I am unworthy
'Cause it's You that I want
And it's You that I need
Make me Yours, only Yours
And never let me go
",Sarah Geronimo
It Takes A Man And A Woman,"

Well it just takes a star to get up so high
One touch of blue to paint up the sky
And it only takes a master of art
To paint a mother and child

Well it just takes the dawn to wake up the sun
One lullaby they do picked on
But these wondrous things
Ain't got what it takes to make two hearts beat as one

It takes a man and a woman and one magic moment
To know their in heaven
It takes a man and a woman to feel what weâre feelinâ
And ain't it a miracle that youâd take a woman like me
To love a man like you

Well it just takes a rainbow river to flow
Just take something up to catch you a rainbow
And if you got some time and a ladder to climb
Youâll find the rainbows end

Well it just takes some notes to write a song
La, la, la, la, to sing along
But since Adam and Eve when feelings get strong
To do what comes naturally

It takes a man and a woman and one magic moment
To know their in heaven
It takes a man and a woman to feel what weâre feelinâ
And ain't it a miracle that youâd take a woman like me
To love a man like you

It takes a man and a woman and one magic moment
To know their in heaven
It takes a man and a woman to feel what weâre feelinâ
And ain't it a miracle that youâd take a woman like me
To love a man like you
",Sarah Geronimo
Perfectly Imperfect,"

Oh Na Nana Nana
Oh Na Nanana

See I don't expect you to listen
But I'm gonna tell you anyways
All those things that you feel like calling me
You're gonna say them anyways

Well, I no longer feel the need to impress ya
I'm doing this for myself
The walls are coming down and the gloves are coming o-o-off
So take your best shot

I may not be nothin' perfect
But God knows that I've been trying so hard
If you can't accept me you ain't worth it
I'm flawed, I'm bent, and I'm proud of these scars

Say whatcha want about me
Say whatcha want about me
Say whatcha want about me
I am who I am and I be who I be
Say whatcha want about me
I'm perfectly imperfect

Ooh Na Nana Nana
Oh Na Nanana

See, I don't thin you realize
(But I'm gonna tell you anyways)
Those evil things you say are like poison inside
(You're gonna say them anyways)

Well, I no longer feel the need to impress ya
Intimidation done
The walls are coming down and the gloves are coming o-o-off
So take your best shot

I may not be nothin' perfect
But God knows that I've been trying so hard
If you can't accept me you ain't worth it
I'm flawed, I'm bent, and I'm proud of these scars

Say whatcha want about me
Say whatcha want about me
Say whatcha want about me
I am who I am and I be who I be
Say whatcha want about me
I'm perfectly imperfect

Ooh Na Nana Nana
Oh Nanana

I may not be nothin' perfect
But God knows that I've been trying so hard
If you can't accept me you ain't worth it
I'm flawed, I'm bent, and I'm proud of these scars

Say whatcha want
Say whatcha want
Say whatcha want about me
Say whatcha want about me
I'm perfectly imperfect
",Sarah Geronimo
Kilometro,"

Gagawin ko ang lahat upang sa huli, sa huli,
Sa huli ay tayo
Kung kailangan kong tahakin ang kilome, kilome
Kilometrong layo

Yeah...
Oooh...
Oh...
Ooohh...

Bakit nga ba itong agwat natin
Pinipilit palawakin
Pero habang merong bumabalakid
Ang pag-ibig lumalalim
Tila tala sa tala ang layo
At di ka na matanaw
Pero pag humahaba ay lalo kitang sinisigaw

Maging ang laot walang takot na tatawirin
Kahit alon ay umabot sa papawirin
San man dako'y pinangakong makakarating
Ikaw lang ay makapiling

Gagawin ko ang lahat upang sa huli, sa huli,
Sa huli ay tayo
Kung kailangan kong tahakin ang kilome, kilome
Kilometrong layo

Woah...

Kilome, kilome, kilometrong layo

Woah...

Kilome, kilome, kilometrong layo

Sumasalungat ang daigdig
At tayo'y di magkasalubong
Oh, dapat na ba kong makinig
Magpadala na sa daluyong
Inanod, inagos at halos hindi ka na matanaw
Pagtapos mabalot ng galos
Sigaw pa rin ay ikaw

Maging ang laot walang takot na tatawirin
Kahit alon ay umabot sa papawirin
San man dako'y pinangakong makakarating
Ikaw lang ay makapiling

Gagawin ko ang lahat upang sa huli, sa huli,
Sa huli ay tayo
Kung kailangan kong tahakin ang kilome, kilome
Kilometrong layo

Woah...

Kilome, kilome, kilometrong layo

Woah...

Kilome, kilome, kilometrong layo

Maging ang laot walang takot na tatawirin
Kahit alon ay umabot sa papawirin
San man dako'y pinangakong makakarating
Ikaw lang ay makapiling

Gagawin ko ang lahat upang sa huli, sa huli,
Sa huli ay tayo
Kung kailangan kong tahakin ang kilome, kilome
Kilometrong layo

Woah...

Kilome, kilome, kilometrong layo

Woah...

Kilome, kilome, kilometrong layo

Woah...

Woah...

Kilome, kilome, kilometrong layo
",Sarah Geronimo
Minamahal,"

Oooh... haaa...
Ohhh... aaaahh...

Naalala mo pa ba
Nung tayong dalawa'y magkaibigan pa lang
Akalain mo nga namang
Aabot tayo sa araw na ito

Tumingin sa aking mga mata
At dinggin ang nais isumpa
Ako ay iyo magpakailanman
Ika'y minamahal
Ng puso kong ligaw
Walang sinisigaw kundi ikaw
Ikaw ay akin, walang katapusan
Pinapangako na
Mamahalin kita
Hanggang sumapit ang huling umaga

Handang ipahayag
Wala nang iba
Wala tayong hangganan
Handang humarap
Sa habangbuhay
Hawak ang iyong kamay

Tumingin sa aking mga mata
At dinggin ang nais isumpa
Ako ay iyo magpakailanman
Ika'y minamahal
Ng puso kong ligaw
Walang sinisigaw kundi ikaw
Ikaw ay akin, walang katapusan
Pinapangako na
Mamahalin kita
Hanggang sumapit ang huling umaga

Ilang beses nang nasaktan, lumuha at iniwanan
Muntik nang mawalan ng pag-asang muling iibig pa
Ngunit bigla kang dumating at ang mundo'y lumiwanag
Wala nang hahanapin pa
Ikaw lang ang minamahal

(Ako ay iyo magpakailanman)
(Ika'y minamahal)
(Ng puso kong ligaw)
Walang sinisigaw kundi ikaw
Ikaw ay akin, walang katapusan
Pinapangako na
Mamahalin kita
Hanggang sumapit ang huling umaga

(Ako ay iyo magpakailanman)
(Ika'y minamahal)
(Ng puso kong ligaw)
Walang sinisigaw kundi ikaw
Ikaw ay akin, walang katapusan
Pinapangako na
Mamahalin kita
Hanggang sumapit ang huling umaga

Huling umaga...
Aaaah.
",Sarah Geronimo
Until Forever,"

Is this the beginning
Of a love I've waited for
And I hardly can't imagine
If one day you let me go
'Cause it's you I'm always dreaming of
And I'm glad you came along
I just can't explain that feeling
When you say you love me more

From this day I will remember
How you opened up my heart
And I'll treasure every moment
I will never make you cry
For this love will last a lifetime
I can see it in your eyes
From this day until forever
I will never say goodbye

I am ready for tomorrow
And I'm not afraid of time
'Cause with you there is no sorrow
Yes and you profound my home

From this day I will remember
How you opened up my heart
And I'll treasure every moment
I will never make you cry
For this love will last a lifetime
I can see it in your eyes
From this day until forever
I will never say goodbye

How you taught me to be strong
How you changed my life and all
How you made me feel I'm not alone

For this love will last a lifetime
I can see it in your eyes
From this day until forever
I will never say goodbye

From this day until forever
I will never say goodbye
",Sarah Geronimo
This Fight,"

Did I cause you any problems
Did I open up a scar
Did I push too much for love
Or was it just me trying too hard

Did I think of this the wrong way
Or was it written in the stars
Was I wrong for aiming high
And aiming far

Hmm... hmmm...

Is it too much for some answers
Do I ask too much for me
Is it anger holding you back
From that something we could be

I guess my best guess is the way the things will go
By the look of things, I guess I'll never know

'Cause I gave it all I had
Didn't budge when things went bad
I feel lost and alone
And I feel overthrown
Can't decide if this feeling feels right
How do I win this fight

I've never been a fan of conflict
But you're like gasoline in flame
And by the end of it
I'm down and broken
And you can't say the same

I didn't break off any promise
I didn't cheat or anything
You should have thought about me
Never being the same

'Cause I gave it all I had
Didn't budge when things went bad
I feel lost and alone
And I feel overthrown
Can't decide if this feeling feels right
How do I win this fight

And I won't forget the moment
When I realized it's hopeless
Can you find it in you
To take a step back
And feel a little shame

'Cause I came to you in one piece
With my heart in hand
And so pleased
Didn't figure you would
Take me in and leave

'Cause I gave it all I had
Didn't budge when things went bad
I feel lost and alone
And I feel overthrown
Can't decide if this feelings feels right
How do I win this fight

Ooh... how do I win this fight

I feel lost and alone
And I feel overthrown
Can't decide if this feelings feels right
How do I win this fight
",Sarah Geronimo
Bulletproof,"

Dearly beloved
We are gathered here today
To Celebrate two people in love
Empty promises
Made along the way
Stolen nights, I hope you had your fin

So you can have that ring back
Walk on me like a doormat
Go ahead pull the trigger
Pull me out of my misery
Leave me here to bleed
Go ahead pull the trigger

'Cause you can take me all that I have
But you can't break me, I'm stronger than that
I would've taken two million shots
And given everything I got
'Cause you can't break me, Im stronger than that
I'm bulletproof

Ashes to ashes
The flowers wilt away
Burying this sad excuse for love
Almost lost myself
A fool wanting to stay
Tryin' to save what we both knew was done

So you can have that ring back
Walk on me like a doormat
Go ahead pull the trigger
Pull me out of my misery
Leave me here to bleed
Go ahead pull the trigger

'Cause you can take me all that I have
But you can't break me, I'm stronger than that
I would've taken two million shots
And given everything I got
'Cause you can't break me, Im stronger than that

I'm bulletproof
Fire away, give me all that you got
I'm bulletproof
Shoot to kill, hit me with you best shot
I'm bulletproof
And this heart can't feel a damn thing
No matter what you do
I'm bulletproof

'Cause you can take me all that I have
But you can't break me, I'm stronger than that
I would've taken two million shots
And given everything I got
'Cause you can't break me, Im stronger than that
I'm bulletproof
Oh, I'm bulletproof
I'm bulletproof
",Sarah Geronimo
Dulo,"

Nakatingin sa malayo
Nakatikom mga bibig
Magkatabi nga ba tayo
Bakit tila walang imik?

Hindi akalain na pagkatapos ng mahabang panahon
Biglang nangyari na sa paglaoy dito rin lamang hahantong
Sana'y panaginip nalang
Sana'y magising pwede bang
'Di na harapin para bang ayokong maniwala

Narating na ba natin ang dulo 
Parang di pa maamin ng puso
Narating na ba?
Narating na ba?
Narating na ba natin ang dulo?
Ang dulo
Ang dulo

Paano ang aking pag gising
Wala ka ng unang tawag
Pagtulog wala ng kapiling
Walang kadaupang palad

Walang magawa nanghinayang nalang sa tinapos sayang sana
Salamat nalang sa ligaya at mga pinabaong alaala
Sana'y panaginip nalang
Sana'y magising pwede bang?
'Di na harapin para bang ayokong maniwala

Narating na ba natin ang dulo 
Parang di pa maamin ng puso
Narating na ba?
Narating na ba?
Narating na ba natin ang dulo?
Ang dulo
Ang dulo

Ang dating walang hanggan
Naging hanggang dito nalang
Narating na ba?
Narating na ba?
Narating na ba natin ang dulo?
Ang dulo..

Narating na ba natin ang dulo 
Parang di pa maamin ng puso
(di maamin ng puso)
Narating na ba?
Narating na ba?
Narating na ba natin ang dulo?
Ang dulo
Ang dulo

Narating na ba natin ang dulo
(akala ko'y hanggang wakas)
Parang di pa maamin ng puso
(hanggang dito nalang ba?)
Narating na ba?
Narating na ba?
Narating na ba natin ang dulo?
Ang dulo
Ang dulo
",Sarah Geronimo
Bangon,"

Ahhh...ohhh...

Naaalala ng aking mga mata
Ang mga luhang binubuhos nila
Nandito pa rin
Ang aking mga sugat
Noong 'di pa batid
Kung saan sumusobra

Nagbitaw ng sumpa
Agad na naniwala
Tapat raw at totoo
'Yan ang sinabi mo
Ngunit lahat ng sakit
Aking tanging nakamit
Kaya't ngayon

Ako ay babangon
Limot na'ng kahapong
Kinuha mo't sinira-sira
Iyong winasak at lilipad na
Patungong bukas
Kung sa'n 'di mo na 'ko magagapos
Dito magtatapos at babangon, bangon, bangon
Ohhh, bangon, bangon, bangon, ohhh...

Makikita nila'ng aking ngiti
Na kay tagal na iyong inaalis
Mararamdaman ko na ang kalayaan
Sa sakit at lungkot na laging nararanasan

Nagbitaw ng sumpa
Agad na naniwala
Tapat raw at totoo
'Yan ang sinabi mo
Ngunit lahat ng sakit
Aking tanging nakamit
Kaya't ngayon

Ako ay babangon
Limot na'ng kahapong
Kinuha mo't sinira-sira
Iyong winasak at lilipad na
Patungong bukas
Kung sa'n 'di mo na 'ko magagapos
Dito magtatapos at babangon, bangon, bangon
Ohhh, bangon, bangon, bangon, ohhh...

Hmmm, nagbitaw ng sumpa agad na naniwala
Tapat raw at totoo, 'yan ang sinabi mo
Ngunit lahat ng sakit akin tanging nakamit
Kaya't ngayon

Ako ay babangon
Limot na'ng kahapong
Kinuha mo't sinira-sira
Iyong winasak at lilipad na
Patungong bukas
Kung sa'n 'di mo na 'ko magagapos
Dito magtatapos at babangon, bangon, bangon
Ohhh, babangon, bangon, bangon, ohhh...
Bangon, bangon, bangon, ohhh...
Bangon, bangon, bangon
Dito magtatapos at babangon
",Sarah Geronimo
Kung Sabagay,"

Nagsimula nang mamasdan ang iyong mukha
Naramdaman ang pag-ibig at pagsinta
Habang tumatagal
Lalong minamahal

Ngunit ngayon tadhana man ay nag-iba
Yaring pag-ikot ng mundo'y tumigil na
Akala'y mag-paalam
Di ko sadyang lumisan

Kung sabagay may karamay ka
Sa'yong paglalakbay
Kung sabagay may umaga pang
Sa'yo'y naghihintay
Di kailanman nawalay
At hawak ko ang iyong kamay
Maging hanggang sa kabilang buhay

Kagaya nang isang bituing kumikinang
Na sa dilim liwanag ay magigisnan
Laging gumagabay
Hanggang sa mahimlay

Kung sabagay may karamay ka
Sa'yong paglalakbay
Kung sabagay may umaga pang
Sa'yo'y naghihintay
Di kailanman nawalay
At hawak ko ang iyong kamay
Maging hanggang sa kabilang buhay

Kung sabagay may karamay ka
Sa'yong paglalakbay
Kung sabagay may umaga pang
Sa'yo'y naghihintay
Di kailanman nawalay
At hawak ko ang iyong kamay
Maging hanggang sa kabilang buhay
",Sarah Geronimo
In Your Hands,"

Anywhere
I see them everywhere
And I wanna close my eyes
Just to ease the pain
But after all
Atill I can hear them call
Begging for a little love
The greatest gift of all

'Cause in your hands, in your hands
Lies the future of our children
And in your hands, in your hands
Lies the future of the world
We are one, all together
Make this world a place like heaven
And in your hands, in our hands
Lies the future of the world

And don't you even dare
To show them that you can't
Hands that reach their very soul
This is where they belong
Show them love
It's time to make a start
For our children the sweetest angels
Waiting to be found

In your hands, in your hands
Lies the future of our children
In your hands, in your hands
Lies the future of the world
We are one, all together
Make this world a place like heaven
In your hands, in your hands
Lies the future of the world

In your hands, in your hands
Lies the future of our children
In your hands, in your hands
Lies the future of the world
We are one, all together
Make this world a place like heaven
In your hands, in your hands
Lies the future of the world

In your hands, in your hands
Lies the future of our children
In your hands, in your hands
Lies the future of the world
We are one, all together
Make this world a place like heaven
In your hands, in your hands

In your hands, in your hands
Lies the future of the children
In your hands, in your hands
Lies the future of the world
",Sarah Geronimo
Last Night Of Our Lives,"

I wanna live
Like it's the last night of our lives
(Cuz there might not be tomorrow)
Live
Like it's the last night of our lives
(Cuz there might not be tomorrow)

So just let go
You never know
Cuz there might not be tomorrow
It's the last night of our lives

Thank the world that we got tonight
Moons right and the stars align
Never ever seen such a perfect night
It's way too good for it to be the last night
Everybody says that the world might end
And we might never get the chance again
If we miss the shot we'll be devastated
So maybe we shouldn't think about going to bed

All we need is a bottle
Two glasses and the lights down low
Tonight you and me is all I know
Cuz there might not be a tomorrow
And ever if we're going to a better place
Let's enjoy the night just in case
So relax your mind, undress and forget the time
And live like it's the last night of our lives

I wanna live
Like it's the last night of our lives
(Cuz there might not be tomorrow)
Live
Like it's the last night of our lives
(Cuz there might not be tomorrow)

So just let go
You never know
Cuz there might not be tomorrow
It's the last night of our lives

Now I'm not saying that I'm psychic
But I really don't think that we should risk it
If we never get a taste of it it'd be tragic
We only got one life so let's live it

The world might not end, but what if it does?
We'll never get to know how we'd feel in love
I really like to know how we'd feel in love
So let's go see how it feels for us

All we need is a bottle
Two glasses and the lights down low
Tonight you and me is all I know
Cuz there might not be a tomorrow
And ever if we're going to a better place
Let's enjoy the night just in case
So relax your mind, undress and forget the time
And live like it's the last night of our lives

I wanna live
Like it's the last night of our lives
(Cuz there might not be tomorrow)
Live
Like it's the last night of our lives
(Cuz there might not be tomorrow)

So just let go
You never know
Cuz there might not be tomorrow
It's the last night of our lives

All we need is a bottle
Two glasses and the lights down low
Tonight you and me is all I know
Cuz there might not be a tomorrow
And ever if we're going to a better place
Let's enjoy the night just in case
So relax your mind, undress and forget the time
And live like it's the last night of our lives.
I wanna live
Like it's the last night of our lives
(Cuz there might not be tomorrow)
Live
Like it's the last night of our lives
(Cuz there might not be tomorrow)
So just let go
Yeah you never know
Cuz there might not be tomorrow
It's the last night of our lives
",Sarah Geronimo
Paano Ba Ang Magmahal,"

Heto na naman ako
Nag-aabang ng bago sa istorya ko
Paulit-ulit na lang
Paulit-ulit na lang

Heto na naman ako
Tinitignan sa'n nagkamali ang puso ko
Parang walang katapusan
Walang katapusan

Kahit pilitin pa'ng sarili
Ibigin ka, mali
Ako'y mali
Ako'y mali

Paano ba ang magmahal
Palagi bang nasasaktan
Umiiyak na lang palagi
Gusto ko nang lumisan
Paano ba ang magmahal
Kailangan bang nasasaktan
Lagi na lang, di maaari
Ngunit ayaw lumisan

Heto na naman ako
Parang hindi nadadala ang puso ko
Kahit nasusugatan
Aking ipaglalaban

Kahit pilitin pa'ng sarili
Ibigin ka, mali
Parang mali
Parang mali

Paano ba ang magmahal
Palagi bang nasasaktan
Umiiyak na lang palagi
Gusto ko nang lumisan
Paano ba ang magmahal
Kailangan bang nasasaktan
Lagi na lang, di maaari
Ngunit ayaw lumisan

Kailan ba, ang tamang panahon
Kailan ba, magkakataong
Malaya na ang puso mo
At puso ko

Paano ba ang magmahal
Palagi bang nasasaktan
Umiiyak na lang palagi
Gusto ko nang lumisan
Paano ba ang magmahal
Kailangan bang nasasaktan
Lagi na lang, di maaari
Ngunit ayaw lumisan

Paano ba ang magmahal
Palagi bang nasasaktan
Umiiyak na lang palagi
Gusto ko nang lumisan
Paano ba ang magmahal
Kailangan bang nasasaktan
Umiiyak na lang palagi
Lagi na lang, di maaari
Umiiyak na lang palagi
Lagi na lang, di maaari
Ngunit ayaw lumisan
",Sarah Geronimo
With A Smile,"

Lift your head, baby, don't be scared
Of the things that could go wrong along the way
You'll get by with a smile
You can't win at everything but you can try.

Baby, you don't have to worry
'Coz there ain't no need to hurry
No one ever said that there's an easy way
When they're closing all their doors
And they don't want you anymore
This sounds funny but I'll say it anyway.

Girl I'll stay through the bad times
Even if I have to fetch you everyday
I'll get by if you smile
You can never be too happy in this life.

In a world where everybody
Hates a happy ending story
It's a wonder love can make the world go round
And don't let it bring you down
And turn your face into a frown
You'll get along with a little prayer and a song.

(Too doo doo...)
Let me hear you sing it
(Too doo doo...)

In a world where everybody
Hates a happy ending story
It's a wonder love can make the world go round
But don't let it bring you down
And turn your face into a frown
You'll get along with a little prayer and a song.

Lift your head, baby, don't be scared
Of the things that could go wrong along the way
You'll get by with a smile
Now it's time to kiss away those tears goodbye

(Too doo doo...)
Let me hear you sing it
(Too doo doo...)
Let me hear you sing it
(Too doo doo...)
Let me hear you sing it
(Too doo doo...)
Let me hear you sing it
",Sarah Geronimo
Huwag Na Huwag Mong Sasabihin,"

May gusto ka bang sabihin
Ba't 'di mapakali
Ni hindi makatingin
Sana'y 'wag mo na itong palipasin
At subukang lutasin
Sa mga sinabi mo na

Iba'ng nararapat sa akin
Na tunay kong mamahalin

Oh...
Huwag na huwag mong sasabihin
Na hindi mo nadama itong
Pag-ibig kong handang
Ibigay kahit pa kalayaan mo

Oh...
",Sarah Geronimo
Ikaw Lamang,"

Ikaw ang pangakong taglay ng isang bituin
Tanging pangarap sa diyos ay hiling
Makapiling sa bawat sandali

Ikaw ang pag-ibig
Sa araw at gabi
Ikaw ang pag-asang tanglaw sa dilim
Napapawi'ng hirap at pighati

Langit ang buhay
Sa tuwing ika'y hahagkan
Anong ligaya sa tuwing ika'y mamasdan
Sa piling mo
Ang gabi'y tila araw
Ikaw ang pangarap
Ikaw
Ikaw lamang

Ikaw ang pag-ibig
Sa araw at gabi
Ikaw ang pag-asang tanglaw sa dilim
Napapawi'ng hirap at pighati

Langit ang buhay
Sa tuwing ika'y hahagkan
Anong ligaya sa tuwing ika'y mamasdan
Sa piling mo
Ang gabi'y tila araw
Ikaw ang pangarap
Ikaw lamang
Ikaw lamang
",Sarah Geronimo
Bida,"

Parang telenovela
May drama, aksyon, at komediya
Parang napakakulay
Tema sa totoong buhay

Kahit pa umikot ang istorya
Basta't ikaw at ako'ng magkapareha t'wina

Aladidi-aladida ikaw sa akin ang bida
Aladidi-aladida bigyan mo pa ng partida
Aladidi-aladida ikaw ang numero uno
Aladidi-aladida ikaw ang bida sa puso

Bida, laging panalo
'Di ba 'yan ang pangako mo
Bida, 'di mababago
'Di ba 'yan ang pangarap ko

Kahit pa umikot ang istorya
Basta't ikaw at ako'ng magkapareha t'wina

Aladidi-aladida ikaw sa akin ang bida
Aladidi-aladida bigyan mo pa ng partida
Aladidi-aladida ikaw ang numero uno
Aladidi-aladida ikaw ang bida sa puso

Aladidi-aladida ikaw sa akin ang bida
Aladidi-aladida bigyan mo pa ng partida
Aladidi-aladida ikaw ang numero uno
Aladidi-aladida ikaw ang bida sa puso

Aladidi-aladida ikaw sa akin ang bida
Aladidi-aladida bigyan mo pa ng partida
Aladidi-aladida ikaw ang numero uno
Aladidi-aladida ikaw ang bida sa puso

Aladidi-aladida ah hmmm
",Sarah Geronimo
Patawarin,"

Ako ang nagkamali
At hindi na kayang ibalik
Tumingin ka sa'king mata
Pagsisisi ang nadarama

Nais ko lang sabihin
Sana'y 'di pa huli ang lahat

Patawarin mo sana oh giliw
'Di ko sinadyang ikaw ay
Malimutan at masaktan pa ang
Damdamin mo oh mahal ko, patawad

Ginawa mo ang lahat
At ikaw ay binalewala
'Di alam ang takbo ng
Puso at isip ko'y 'di pinagbigyan

Nais ko lang sabihin
Sana'y 'di pa huli ang lahat

Patawarin mo sana oh giliw
'Di ko sinadyang ikaw ay
Malimutan at masaktan pa ang
Damdamin mo oh mahal ko

Kung may pagkakataon pa
'Di ka na pakakawalan pa
Itutuwid ko ang mali
Nang 'di maulit lahat ng aking ginawa

Patawarin mo sana oh giliw
'Di ko sinadyang ikaw ay
Malimutan at masaktan pa ang
Damdamin mo oh mahal ko, patawad
",Sarah Geronimo
Nagsimula Sa Puso,"

Parang kung kailan lang
Laging kapiling ka
Ang sabi mo mahal
Mo ako walang iba
Walang iba
Para sa'yo
Bukod tangi ako

Naaalala ko
Ang tamis na aking nadama
Sa'yong halik, mga halik
Ang init ng iyong pagsinta

Ang sabi mo noon, naaalala ko
Ako ay walang ibang kapantay
Binihag mo ang puso ko
Buong pagkahumaling sa'yo

Bakit bigla na lang
Nilimot ng ating nagdaan
At ang puso ko'y nagdaramdam
Sa biglang naglahong nakaraan

Kailan kung may kailan pa man
Hindi ko na alam
Nasaan, nasaan ang pangako
Mong pagmamahal
Sayang ang pag-ibig na
Para satin lang nakalaan
Na nagsimula sa puso

Bakit bigla na lang
Nilimot ang ating nagdaan
At ang puso ko'y nagdaramdam
Sa biglang naglahong nakaraan
",Sarah Geronimo
Unbroken,"

Unleash uncover secrets locked inside
Blinded moving in circles
Lost in the crowd

Find me, break me
'Cause I am unbroken
And you are the only one
Who never dare bring me down
I am unbroken
And you're there to set me free
From now on just let it be

Sounding, I heard the beating
Oh, so clear
So close, true love is calling
Comfort me still

Find me, break me
'Cause I am unbroken
And you are the only one
Who never dare bring me down
I am unbroken
And you're there to set me free
From now on just let it be

Find me, break me
I am unbroken
And you are the only one
Who never dare bring me down
I am unbroken

You're that've set me free
From now on just let it be

I am unbroken
And you are the only one
Who never that bring me down

I am unbroken
And you're there to set me free
From now on just let it be

I am unbroken (unbroken, unbroken)
And you are the only one

Who never dare bring me down
I am unbroken
And you're there to set me free
From now on just let it be
You are more than familiar
More like a dream
",Sarah Geronimo
The Great Unknown,"

Here I am
Sitting on the floor
Wondering what it is I'm looking for
Waiting for, waiting for a sign
A sign that I am yours and you are mine

The glow and shimmer of your summer skin
And the sun shines brightly on your eyes
Treading lightly, where do I begin
Stars align with your doe-eyed smile
My souls alight with your secret smile

You've been on my mind
Sealed, delivered and signed
Scared of the fall
Do I risk it all
Or maybe I'm afraid of the great unknown

You woke me up
And knocking at my door
Wondering why you're here
Or what's in store
I heard a sound
The sound of your voice, so tender and serene
Apart from this noise

The glowing shimmer of your summer skin
And the sun shines brightly on your eyes
Treading lightly, where do I begin
Stars align with your doe-eyed smile
My souls alight with your secret smile

You've been on my mind
Sealed, delivered and signed
Scared of the fall
Do I risk it all
Or maybe I'm afraid of the great unknown
Or maybe I'm afraid of the great unknown

OOOHH...

You've been on my mind
Sealed, delivered and signed
You've been on my mind
Sealed, delivered and signed
Scared of the fall
Do I risk it all
Maybe I'm afraid
Or maybe I'm afraid
Or maybe I'm afraid of the great unknown

Here I am
Sitting on the floor
Wondering what it is I'm looking for
",Sarah Geronimo
